Term,Definition
AAA,"Authentication, Authorization, and  Accounting"
AC,Alternating Current    
ADF,Automatic Document Feeder   
AP,Access Point    
APFS,Apple File System   
APIPA,Automatic Private Internet Protocol  Addressing
ARM,Advanced RISC [Reduced Instruction Set 
Computer],Machine     
ARP,Address Resolution Protocol   
ATA,Advanced Technology Attachment   
ATM,Asynchronous Transfer Mode   
ATX,Advanced Technology Extended   
CD,Compact Disc    
CDMA,Code-Division Multiple Access   
CERT,Computer Emergency Response Team  
CIFS,Common Internet File System  
CMD,Command Prompt    
CMOS,Complementary Metal-Oxide Semiconductor
CPU,Central Processing Unit   
DC,Direct Current    
DDoS,Distributed Denial of Service  
DDR,Double Data Rate   
DIMM,Dual Inline Memory Module  
DKIM,DomainKeys Identified Mail   
DMA,Direct Memory Access   
DMARC,"Domain-based Message Authentication,   "
"Reporting,",and Conformance    
DNS,Domain Name System   
DoS,Denial of Service   
DRAM,Dynamic Random-Access Memory   
DRM,Digital Rights Management   
DSL,Digital Subscriber Line   
DVI,Digital Visual Interface   
ECC,Error Correcting Code   
EFS,Encrypting File System   
EMI,Electromagnetic Interference    
EOL,End-of-Life     
eSATA,External Serial Advanced Technology  Attachment
EULA,End-User License Agreement   
exFAT,Extensible File Allocation Table  
ext,Extended File System   
FAT,File Allocation Table   
FAT12,12-bit File Allocation Table  
FAT16,16-bit File Allocation Table  
FAT32,32-bit File Allocation Table  
FTP,File Transfer Protocol   
GFS,Grandfather-Father-Son     
GPS,Global Positioning System   
GPT,GUID [Globally Unique Identifier] Partition Table
GSM,Global System for Mobile Communications 
GUI,Graphical User Interface   
HAL,Hardware Abstraction Layer   
HAV,Hardware-assisted Virtualization    
HCL,Hardware Compatibility List   
HDCP,High-bandwidth Digital Content Protection  
HDMI,High-Definition Multimedia Interface   
HSM,Hardware Security Module   
HTML,Hypertext Markup Language   
I/O,Input/Output     
IaaS,Infrastructure as a Service  
ICR,Intelligent Character Recognition   
IDE,Integrated Drive Electronics   
IDS,Intrusion Detection System   
IEEE,Institute of Electrical and Electronics  Engineers
IMAP,Internet Mail Access Protocol  
IOPS,Input/Output Operations Per Second  
IoT,Internet of Things   
IP,Internet Protocol    
IPS,Intrusion Prevention System   
IPS,In-plane Switching    
IPSec,Internet Protocol Security   
IrDA,Infrared Data Association   
IRP,Incident Response Plan   
ISO,International Organization for  Standardization
ISP,Internet Service Provider   
ITX,Information Technology eXtended   
KB,Knowledge Base    
KVM,Keyboard-Video-Mouse     
LAN,Local Area Network   
LCD,Liquid Crystal Display   
LDAP,Lightweight Directory Access Protocol  
LED,Light-emitting Diode    
MAC,Media Access Control/Mandatory Access Control 
MAM,Mobile Application Management   
MAN,Metropolitan Area Network   
MBR,Master Boot Record   
MFA,Multifactor Authentication    
MFD,Multifunction Device    
MMC,Microsoft Management Console   
MOU,Memorandum of Understanding   
MSDS,Material Safety Data Sheet  
MSRA,Microsoft Remote Assistance   
MX,Mail Exchange    
NAC,Network Access Control   
NAT,Network Address Translation   
NDA,Non-disclosure Agreement    
NetBIOS,Networked Basic Input/Output System  
NFC,Near-field Communication    
NIC,Network Interface Card   
NTFS,New Technology File System  
NVMe,Non-volatile Memory Express   
OCR,Optical Character Recognition   
OLED,Organic Light-emitting Diode   
ONT,Optical Network Terminal   
PaaS,Platform as a Service  
PAN,Personal Area Network   
PC,Personal Computer    
PCIe,Peripheral Component Interconnect Express  
PCL,Printer Command Language   
PE,Preinstallation Environment    
PII,Personally Identifiable Information   
PIN,Personal Identification Number   
PKI,Public Key Infrastructure   
PoE,Power over Ethernet   
POP3,Post Office Protocol 3  
PPP,Point-to-Point Protocol    
PXE,Preboot Execution Environment   
RADIUS,Remote Authentication Dial-in User Service 
RAID,Redundant Array of Independent (or Inexpensive) Disks
RAM,Random-access Memory    
RDP,Remote Desktop Protocol   
RF,Radio Frequency    
RFI,Radio-Frequency Interference    
RFID,Radio-Frequency Identification    
RJ11,Registered Jack Function 11  
RJ45,Registered Jack Function 45  
RMM,Remote Monitoring and Management  
RTO,Recovery Time Objective   
SaaS,Software as a Service  
SAN,Storage Area Network   
SAS,Serial Attached SCSI [Small Computer System Interface]
SATA,Serial Advanced Technology Attachment  
SC,Subscriber Connector    
SCADA,Supervisory Control and Data Acquisition 
SCP,Secure Copy Protection   
SCSI,Small Computer System Interface  
SDN,Software-defined Networking    
SFTP,Secure File Transfer Protocol  
SIM,Subscriber Identity Module   
SIMM,Single Inline Memory Module  
S.M.A.R.T.,Self-monitoring Analysis and Reporting  Technology
SMB,Server Message Block   
SMTP,Simple Mail Transfer Protocol  
SNMP,Simple Network Management Protocol  
SNTP,Simple Network Time Protocol  
SODIMM,Small Outline Dual Inline Memory Module
SOHO,Small Office/Home Office   
SPF,Sender Policy Framework   
SQL,Structured Query Language   
SRAM,Static Random-access Memory   
SSD,Solid-State Drive    
SSH,Secure Shell    
SSID,Service Set Identifier   
SSL,Secure Sockets Layer   
SSO,Single Sign-on    
ST,Straight Tip    
STP,Shielded Twisted Pair   
TACACS,Terminal Access Controller Access-Control  System
TCP,Transmission Control Protocol   
TCP/IP,Transmission Control Protocol/Internet   Protocol
TFTP,Trivial File Transfer Protocol  
TKIP,Temporal Key Integrity Protocol  
TLS,Transport Layer Security   
TN,Twisted Nematic    
UAC,User Account Control   
UDP,User Datagram Protocol   
UEFI,Unified Extensible Firmware Interface  
UNC,Universal Naming Convention   
UPnP,Universal Plug and Play  
UPS,Uninterruptible Power Supply   
UTM,Unified Threat Management   
UTP,Unshielded Twisted Pair   
VA,Vertical Alignment    
VDI,Virtual Desktop Infrastructure   
VGA,Video Graphics Array   
VLAN,Virtual LAN [Local Area Network] 
VM,Virtual Machine    
VNC,Virtual Network Computer   
VoIP,Voice over Internet Protocol  
WAN,Wide Area Network   
WEP,Wired Equivalent Privacy   
WISP,Wireless Internet Service Provider  
WLAN,Wireless LAN [Local Area Network] 
WPA,WiFi Protected Access   
WWAN,Wireless Wide Area Network  
